TailNum	FlightNum	Carrier	FlightDate	hops	Route
N957WN	366	WN	2024-12-01	8	ISP-BWI-MYR-BNA-VPS-DAL-LAS-OAK-SEA
N7835A	3149	WN	2024-02-18	8	CLE-BNA-PNS-HOU-MCI-PHX-BUR-OAK-DEN
N7742B	154	WN	2023-04-30	8	ELP-DAL-LIT-ATL-RIC-MDW-MCI-PHX-SAN
N8631A	2787	WN	2022-10-23	8	MSY-ATL-CMH-BWI-RDU-BNA-DTW-MDW-LAX
N7845A	6148	WN	2021-09-26	8	SMF-SAN-PHX-COS-DEN-PSP-OAK-RNO-LAS
N7864A	904	WN	2021-08-27	8	HOU-MSY-BNA-MYR-CMH-DAL-ABQ-LAS-OAK
N7738A	5547	WN	2021-02-21	8	DEN-OAK-LAS-SAT-HOU-PNS-BNA-BUF-BWI
N282WN	3844	WN	2020-09-20	8	FLL-MDW-BDL-BWI-ATL-BHM-HOU-DEN-PHX
N8618N	3028	WN	2020-05-24	8	ATL-LGA-BNA-EWR-MDW-HOU-ELP-PHX-SMF
N7844A	2528	WN	2019-08-11	8	CMH-BWI-ATL-TPA-STL-DCA-MCO-HOU-DEN
